user,15 3 2022,20 3 2022,08 4 2022,11 4 2022,19 4 2022,26 4 2022,05 5 2022
113,Regular,Regular_achieverlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
114,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
115,Underachiever,Halfhearted,Underachiever,Underachiever,Halfhearted,Halfhearted,Halfhearted
116,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
117,Regular,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted
118,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
119,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
120,Regular,Regular_achieverlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
121,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
122,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
123,Regular,Regular_achieverlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
124,Regular,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted,Underachiever,Underachiever
125,Regular,Achiever,Achiever,Achiever,Achiever,Achiever,Regular_achieverlike,
126,Achiever,Regular_achieverlike,Halfhearted,Halfhearted,Underachiever,Underachiever,Underachiever
127,Achiever,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted,Regular_halfheartedlike,Regular_halfheartedlike,
128,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
129,Regular,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
130,Halfhearted,Regular_achieverlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
131,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
132,Halfhearted,Regular_achieverlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
133,Regular,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Achiever,Regular_achieverlike,Regular
134,Halfhearted,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
135,Achiever,Regular_halfheartedlike,Achiever,Regular_achieverlike,Achiever,Achiever,Achiever,
136,Achiever,Regular_achieverlike,Achiever,Regular_achieverlike,Achiever,Achiever,Achiever,
137,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,
138,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,
139,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Regular_halfheartedlike,Regular_halfheartedlike,Halfhearted
140,Underachiever,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
141,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
142,Regular,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,
