user,07 3 2022,09 3 2022,10 3 2022,11 3 2022,12 3 2022,14 3 2022,15 3 2022,16 3 2022,17 3 2022,18 3 2022,19 3 2022,20 3 2022,21 3 2022,22 3 2022,23 3 2022,24 3 2022,25 3 2022,26 3 2022,27 3 2022,28 3 2022,29 3 2022,30 3 2022,31 3 2022,01 4 2022,02 4 2022,03 4 2022,04 4 2022,05 4 2022,06 4 2022,07 4 2022,08 4 2022,10 4 2022,11 4 2022,12 4 2022,13 4 2022,14 4 2022,15 4 2022,16 4 2022,17 4 2022,18 4 2022,19 4 2022,20 4 2022,21 4 2022,22 4 2022,23 4 2022,24 4 2022,25 4 2022,26 4 2022,27 4 2022,28 4 2022,29 4 2022,02 5 2022,04 5 2022,05 5 2022,06 5 2022,09 5 2022,11 5 2022,13 5 2022
113,500.0,625.0,625.0,625.0,750.0,900.0,1850.0,1860.0,2020.0,2020.0,2390.0,2390.0,2390.0,3073.0,3073.0,3073.0,3073.0,3833.0,3833.0,3833.0,4983.0,4983.0,4983.0,5283.0,5283.0,5283.0,5283.0,6033.0,6733.0,6743.0,7143.0,7143.0,7143.0,7943.0,7943.0,7943.0,7943.0,7943.0,7943.0,7943.0,8393.0,8543.0,8543.0,9003.0,9003.0,9003.0,9003.0,9963.0,10363.0,10363.0,10363.0,10363.0,10363.0,10363.0,10363.0,10363.0,10363.0,10363.0
114,500.0,565.0,565.0,690.0,690.0,690.0,1057.0,1357.0,1357.0,1627.0,1627.0,1627.0,1627.0,2427.0,2427.0,2427.0,2427.0,2827.0,2827.0,2977.0,3752.0,3962.0,3962.0,4362.0,4362.0,4362.0,4362.0,4812.0,4962.0,4962.0,5412.0,5412.0,5412.0,5912.0,5912.0,5912.0,5912.0,5912.0,5912.0,5912.0,6712.0,6862.0,6862.0,6882.0,7282.0,7582.0,7582.0,7982.0,7982.0,10367.0,10367.0,10367.0,10367.0,10367.0,10697.0,10697.0,10697.0,10697.0
115,500.0,600.0,600.0,665.0,665.0,665.0,665.0,815.0,815.0,1365.0,1365.0,1365.0,1365.0,1598.0,1758.0,1758.0,1818.0,2218.0,2218.0,2218.0,3018.0,3168.0,3168.0,3388.0,3388.0,3388.0,3388.0,4213.0,4413.0,4413.0,4813.0,4813.0,4813.0,5413.0,5413.0,5813.0,5813.0,5813.0,5813.0,5813.0,6463.0,6613.0,6738.0,7198.0,7198.0,7198.0,7198.0,8148.0,8148.0,10413.0,10413.0,10413.0,10563.0,10563.0,10773.0,10773.0,10773.0,10773.0
116,500.0,500.0,500.0,565.0,565.0,565.0,565.0,715.0,715.0,725.0,875.0,875.0,875.0,875.0,1025.0,1025.0,1025.0,1425.0,1425.0,1425.0,1425.0,1645.0,1645.0,1755.0,1755.0,1755.0,1755.0,1755.0,1905.0,1905.0,2355.0,2355.0,2355.0,2355.0,2355.0,2355.0,2355.0,2355.0,2355.0,2355.0,2355.0,2505.0,2505.0,2505.0,2905.0,2905.0,3305.0,3715.0,3715.0,4915.0,4915.0,4915.0,5065.0,8282.0,8282.0,8282.0,8282.0,8282.0
117,500.0,625.0,625.0,750.0,750.0,900.0,1600.0,1910.0,1910.0,2710.0,2710.0,2710.0,2710.0,3320.0,3770.0,3780.0,4240.0,4650.0,4650.0,4650.0,5725.0,5875.0,5875.0,6275.0,6275.0,6275.0,6275.0,6900.0,7250.0,7250.0,7650.0,7650.0,7650.0,8350.0,8350.0,8350.0,8350.0,8350.0,8350.0,8350.0,9150.0,9300.0,9300.0,9700.0,9700.0,9700.0,9700.0,10250.0,10250.0,12650.0,12650.0,12650.0,12800.0,12800.0,13540.0,13540.0,13540.0,13540.0
118,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
119,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
120,500.0,625.0,625.0,750.0,750.0,750.0,1617.0,1937.0,1937.0,2272.0,2272.0,2272.0,2672.0,3089.0,3239.0,3689.0,3749.0,4149.0,4149.0,4149.0,4841.0,5041.0,5041.0,5441.0,5441.0,5441.0,5441.0,6066.0,6266.0,6266.0,7336.0,7336.0,7336.0,7836.0,7836.0,7836.0,7836.0,7836.0,7836.0,8636.0,8986.0,9136.0,9136.0,9136.0,9536.0,9536.0,9536.0,10086.0,10086.0,12711.0,12711.0,12711.0,12711.0,12711.0,13331.0,13481.0,13481.0,13481.0
121,500.0,500.0,500.0,625.0,625.0,625.0,625.0,925.0,925.0,925.0,925.0,925.0,925.0,925.0,1025.0,1025.0,1025.0,1425.0,1425.0,1425.0,1425.0,1575.0,1575.0,1935.0,1935.0,1935.0,1935.0,1935.0,2085.0,2085.0,2485.0,2485.0,2485.0,2485.0,2485.0,2485.0,2485.0,2485.0,2485.0,2485.0,2485.0,2675.0,2675.0,3085.0,3085.0,3085.0,3085.0,3085.0,3485.0,6315.0,6315.0,6315.0,6315.0,8865.0,8865.0,8865.0,8865.0,8865.0
122,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
