user,date,cluster,cluster_name
113,2022-03-15 22:31:32,11,bytearray(b'Regular')
113,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
113,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
113,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
113,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
113,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
113,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
114,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
114,2022-03-20 12:12:27,12,bytearray(b'Halfhearted')
114,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
114,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
114,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
114,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
114,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
115,2022-03-15 22:31:32,13,bytearray(b'Underachiever')
115,2022-03-20 12:12:27,12,bytearray(b'Halfhearted')
115,2022-04-08 09:44:09,13,bytearray(b'Underachiever')
115,2022-04-11 18:18:27,13,bytearray(b'Underachiever')
115,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
115,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
115,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
116,2022-03-15 22:31:32,13,bytearray(b'Underachiever')
116,2022-03-20 12:12:27,13,bytearray(b'Underachiever')
116,2022-04-08 09:44:09,13,bytearray(b'Underachiever')
116,2022-04-11 18:18:27,13,bytearray(b'Underachiever')
116,2022-04-19 13:00:42,13,bytearray(b'Underachiever')
116,2022-04-26 19:31:44,13,bytearray(b'Underachiever')
116,2022-05-05 17:26:32,13,bytearray(b'Underachiever')
117,2022-03-15 22:31:32,11,bytearray(b'Regular')
117,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
117,2022-04-08 09:44:09,15,bytearray(b'Regular_halfheartedlike')
117,2022-04-11 18:18:27,15,bytearray(b'Regular_halfheartedlike')
117,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
117,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
117,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
118,2022-03-15 22:31:32,13,bytearray(b'Underachiever')
118,2022-03-20 12:12:27,13,bytearray(b'Underachiever')
119,2022-03-15 22:31:32,13,bytearray(b'Underachiever')
119,2022-03-20 12:12:27,13,bytearray(b'Underachiever')
120,2022-03-15 22:31:32,11,bytearray(b'Regular')
120,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
120,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
120,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
120,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
120,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
120,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
121,2022-03-15 22:31:32,13,bytearray(b'Underachiever')
121,2022-03-20 12:12:27,13,bytearray(b'Underachiever')
121,2022-04-08 09:44:09,13,bytearray(b'Underachiever')
121,2022-04-11 18:18:27,13,bytearray(b'Underachiever')
121,2022-04-19 13:00:42,13,bytearray(b'Underachiever')
121,2022-04-26 19:31:44,13,bytearray(b'Underachiever')
121,2022-05-05 17:26:32,13,bytearray(b'Underachiever')
122,2022-03-15 22:31:32,13,bytearray(b'Underachiever')
122,2022-03-20 12:12:27,13,bytearray(b'Underachiever')
123,2022-03-15 22:31:32,11,bytearray(b'Regular')
123,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
123,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
123,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
123,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
123,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
123,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
124,2022-03-15 22:31:32,11,bytearray(b'Regular')
124,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
124,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
124,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
124,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
124,2022-04-26 19:31:44,13,bytearray(b'Underachiever')
124,2022-05-05 17:26:32,13,bytearray(b'Underachiever')
125,2022-03-15 22:31:32,11,bytearray(b'Regular')
125,2022-03-20 12:12:27,10,bytearray(b'Achiever')
125,2022-04-08 09:44:09,10,bytearray(b'Achiever')
125,2022-04-11 18:18:27,10,bytearray(b'Achiever')
125,2022-04-19 13:00:42,10,bytearray(b'Achiever')
125,2022-04-26 19:31:44,10,bytearray(b'Achiever')
125,2022-05-05 17:26:32,14,bytearray(b'Regular_achieverlike')
126,2022-03-15 22:31:32,10,bytearray(b'Achiever')
126,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
126,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
126,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
126,2022-04-19 13:00:42,13,bytearray(b'Underachiever')
126,2022-04-26 19:31:44,13,bytearray(b'Underachiever')
126,2022-05-05 17:26:32,13,bytearray(b'Underachiever')
127,2022-03-15 22:31:32,10,bytearray(b'Achiever')
127,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
127,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
127,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
127,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
127,2022-04-26 19:31:44,15,bytearray(b'Regular_halfheartedlike')
127,2022-05-05 17:26:32,15,bytearray(b'Regular_halfheartedlike')
128,2022-03-15 22:31:32,13,bytearray(b'Underachiever')
128,2022-03-20 12:12:27,13,bytearray(b'Underachiever')
129,2022-03-15 22:31:32,11,bytearray(b'Regular')
129,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
129,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
129,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
129,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
129,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
129,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
130,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
130,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
130,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
130,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
130,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
130,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
130,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
131,2022-03-15 22:31:32,13,bytearray(b'Underachiever')
131,2022-03-20 12:12:27,13,bytearray(b'Underachiever')
132,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
132,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
132,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
132,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
132,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
132,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
132,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
133,2022-03-15 22:31:32,11,bytearray(b'Regular')
133,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
133,2022-04-08 09:44:09,15,bytearray(b'Regular_halfheartedlike')
133,2022-04-11 18:18:27,15,bytearray(b'Regular_halfheartedlike')
133,2022-04-19 13:00:42,10,bytearray(b'Achiever')
133,2022-04-26 19:31:44,14,bytearray(b'Regular_achieverlike')
133,2022-05-05 17:26:32,11,bytearray(b'Regular')
134,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
134,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
134,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
134,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
134,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
134,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
134,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
135,2022-03-15 22:31:32,10,bytearray(b'Achiever')
135,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
135,2022-04-08 09:44:09,10,bytearray(b'Achiever')
135,2022-04-11 18:18:27,14,bytearray(b'Regular_achieverlike')
135,2022-04-19 13:00:42,10,bytearray(b'Achiever')
135,2022-04-26 19:31:44,10,bytearray(b'Achiever')
135,2022-05-05 17:26:32,10,bytearray(b'Achiever')
136,2022-03-15 22:31:32,10,bytearray(b'Achiever')
136,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
136,2022-04-08 09:44:09,10,bytearray(b'Achiever')
136,2022-04-11 18:18:27,14,bytearray(b'Regular_achieverlike')
136,2022-04-19 13:00:42,10,bytearray(b'Achiever')
136,2022-04-26 19:31:44,10,bytearray(b'Achiever')
136,2022-05-05 17:26:32,10,bytearray(b'Achiever')
137,2022-03-15 22:31:32,10,bytearray(b'Achiever')
137,2022-03-20 12:12:27,10,bytearray(b'Achiever')
137,2022-04-08 09:44:09,10,bytearray(b'Achiever')
137,2022-04-11 18:18:27,10,bytearray(b'Achiever')
137,2022-04-19 13:00:42,10,bytearray(b'Achiever')
137,2022-04-26 19:31:44,10,bytearray(b'Achiever')
137,2022-05-05 17:26:32,10,bytearray(b'Achiever')
138,2022-03-15 22:31:32,10,bytearray(b'Achiever')
138,2022-03-20 12:12:27,10,bytearray(b'Achiever')
